rel_doi	rel_site	rel_date	type	category	rel_num_authors	ym
10.1101/2020.05.22.20109793	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	pediatrics	11	2020-05
10.1101/2020.05.21.20108936	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	public and global health	8	2020-05
10.1101/2020.05.22.20109892	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	occupational and environmental health	20	2020-05
10.1101/2020.05.21.20109652	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	ophthalmology	7	2020-05
10.1101/2020.05.20.20108183	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.20.20108068	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.20.20108365	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.21.20108407	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-05
10.1101/2020.05.21.20109074	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	20	2020-05
10.1101/2020.05.21.20109439	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-05
10.1101/2020.05.20.20108415	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.21.20107946	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.21.20109314	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	7	2020-05
10.1101/2020.05.21.20109298	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.21.20109520	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.21.20109181	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	9	2020-05
10.1101/2020.05.22.20109942	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.21.20109405	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	9	2020-05
10.1101/2020.05.21.20109678	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.21.20109389	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.22.20109660	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.20.20108357	medRxiv	2020-05-23	PUBLISHAHEADOFPRINT	gastroenterology	11	2020-05
10.1101/2020.05.22.111294	bioRxiv	2020-05-23	new results	scientific communication and education	7	2020-05
10.1101/2020.05.23.20110973	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.23.20110916	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	39	2020-05
10.1101/2020.05.23.20110866	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.22.20110429	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	intensive care and critical care medicine	11	2020-05
10.1101/2020.05.22.20110270	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	intensive care and critical care medicine	9	2020-05
10.1101/2020.05.22.20110718	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	emergency medicine	15	2020-05
10.1101/2020.05.22.20110403	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.22.20110320	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.22.20110460	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.22.20110593	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	epidemiology	7	2020-05
10.1101/2020.05.22.20110726	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.20.20108126	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	public and global health	16	2020-05
10.1101/2020.05.23.111385	bioRxiv	2020-05-24	new results	bioinformatics	3	2020-05
10.1101/2020.05.24.111823	bioRxiv	2020-05-24	new results	microbiology	17	2020-05
10.1101/2020.05.24.113175	bioRxiv	2020-05-24	new results	bioinformatics	3	2020-05
10.1101/2020.05.23.104919	bioRxiv	2020-05-24	new results	bioinformatics	3	2020-05
10.1101/2020.05.22.20110809	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	psychiatry and clinical psychology	7	2020-05
10.1101/2020.05.22.20110700	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	public and global health	4	2020-05
10.1101/2020.05.22.20110627	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	public and global health	8	2020-05
10.1101/2020.05.22.20110825	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	public and global health	6	2020-05
10.1101/2020.05.22.20110817	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	radiology and imaging	3	2020-05
10.1101/2020.05.22.20110486	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	geriatric medicine	7	2020-05
10.1101/2020.05.22.20110585	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.22.20110502	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.22.20110551	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	10	2020-05
10.1101/2020.05.22.20110304	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-05
10.1101/2020.05.22.20110791	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-05
10.1101/2020.05.23.20110882	medRxiv	2020-05-24	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-05
10.1101/2020.05.21.20108738	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	cardiovascular medicine	9	2020-05
10.1101/2020.05.22.20110163	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	emergency medicine	3	2020-05
10.1101/2020.05.22.20109231	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.21.20109017	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.22.20110155	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.22.20110254	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.21.20108910	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	2	2020-05
10.1101/2020.05.21.20108233	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	occupational and environmental health	8	2020-05
10.1101/2020.05.20.20108167	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	health policy	1	2020-05
10.1101/2020.05.20.20107540	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.22.20108498	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	15	2020-05
10.1101/2020.05.20.20107516	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.20.20107854	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.21.20107581	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	10	2020-05
10.1101/2020.05.20.20107730	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	11	2020-05
10.1101/2020.05.20.20107797	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.20.20108449	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	8	2020-05
10.1101/2020.05.20.20107912	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.20.20107904	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	pediatrics	13	2020-05
10.1101/2020.05.20.20107680	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	9	2020-05
10.1101/2020.05.20.20107763	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	health policy	1	2020-05
10.1101/2020.05.20.20107664	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	19	2020-05
10.1101/2020.05.19.20107490	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-05
10.1101/2020.05.19.20107425	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-05
10.1101/2020.05.20.20107573	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.19.20107409	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	20	2020-05
10.1101/2020.05.20.20107631	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	9	2020-05
10.1101/2020.05.20.20107813	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	24	2020-05
10.1101/2020.05.19.20107524	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.19.20107482	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	48	2020-05
10.1101/2020.05.21.20109280	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	21	2020-05
10.1101/2020.05.24.096164	bioRxiv	2020-05-25	new results	bioinformatics	6	2020-05
10.1101/2020.05.24.113423	bioRxiv	2020-05-25	new results	molecular biology	14	2020-05
10.1101/2020.05.24.113043	bioRxiv	2020-05-25	new results	molecular biology	10	2020-05
10.1101/2020.05.25.114884	bioRxiv	2020-05-25	new results	bioinformatics	4	2020-05
10.1101/2020.05.24.20112110	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	9	2020-05
10.1101/2020.05.24.20112193	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	2	2020-05
10.1101/2020.05.24.20112136	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	8	2020-05
10.1101/2020.05.19.20107458	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	public and global health	13	2020-05
10.1101/2020.05.24.20112326	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	surgery	4	2020-05
10.1101/2020.05.24.20112029	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.24.20111963	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.24.20111922	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-05
10.1101/2020.05.25.20112763	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.24.20111914	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	dermatology	13	2020-05
10.1101/2020.05.24.20111989	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.24.20112045	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	4	2020-05
10.1101/2020.05.24.20112094	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	10	2020-05
10.1101/2020.05.25.20112482	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	4	2020-05
10.1101/2020.05.25.20112433	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.19.20107474	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.23.20109496	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	radiology and imaging	11	2020-05
10.1101/2020.05.22.20109579	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	respiratory medicine	8	2020-05
10.1101/2020.05.22.20109850	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	respiratory medicine	26	2020-05
10.1101/2020.05.22.20109959	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	respiratory medicine	4	2020-05
10.1101/2020.05.21.20108969	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	occupational and environmental health	4	2020-05
10.1101/2020.05.22.20108845	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	genetic and genomic medicine	23	2020-05
10.1101/2020.05.21.20108894	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	1	2020-05
10.1101/2020.05.21.20109041	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-05
10.1101/2020.05.21.20108993	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.21.20109207	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	32	2020-05
10.1101/2020.05.22.20109991	medRxiv	2020-05-25	PUBLISHAHEADOFPRINT	infectious diseases	1	2020-05
10.1101/2020.05.23.20101741	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	primary care research	5	2020-05
10.1101/2020.05.19.20105460	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	21	2020-05
10.1101/2020.05.25.20105213	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	17	2020-05
10.1101/2020.05.24.20103648	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	neurology	6	2020-05
10.1101/2020.05.20.20103762	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	oncology	7	2020-05
10.1101/2020.05.22.20106476	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health policy	4	2020-05
10.1101/2020.05.18.20106245	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	12	2020-05
10.1101/2020.05.22.20106294	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.22.20106328	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.21.20106195	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	10	2020-05
10.1101/2020.05.18.20106187	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-05
10.1101/2020.05.18.20106146	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.19.20106344	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.26.20104497	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	31	2020-05
10.1101/2020.05.19.20106492	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.19.20106427	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	21	2020-05
10.1101/2020.05.19.20106278	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	11	2020-05
10.1101/2020.05.19.20106484	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	7	2020-05
10.1101/2020.05.19.20106468	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.23.20105643	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.21.20106500	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	2	2020-05
10.1101/2020.05.21.20105858	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	medical education	12	2020-05
10.1101/2020.05.20.20106633	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	otolaryngology	9	2020-05
10.1101/2020.05.19.20106575	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health economics	2	2020-05
10.1101/2020.05.19.20106641	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health informatics	6	2020-05
10.1101/2020.05.19.20106799	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.21.20106518	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.21.20105486	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	47	2020-05
10.1101/2020.05.22.20106724	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	allergy and immunology	15	2020-05
10.1101/2020.05.19.20106781	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	cardiovascular medicine	32	2020-05
10.1101/2020.05.19.20106740	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.19.20106542	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.18.20106138	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	6	2020-05
10.1101/2020.05.19.20106336	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	radiology and imaging	3	2020-05
10.1101/2020.05.19.20107045	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health policy	6	2020-05
10.1101/2020.05.19.20107144	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	11	2020-05
10.1101/2020.05.19.20106997	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	21	2020-05
10.1101/2020.05.19.20106906	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.23.20111450	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	18	2020-05
10.1101/2020.05.21.20107003	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	cardiovascular medicine	8	2020-05
10.1101/2020.05.19.20107219	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	12	2020-05
10.1101/2020.05.20.20107169	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.19.20107094	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.19.20107227	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	pharmacology and therapeutics	5	2020-05
10.1101/2020.05.19.20107532	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	4	2020-05
10.1101/2020.05.24.20107193	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	respiratory medicine	6	2020-05
10.1101/2020.05.19.20107102	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	neurology	2	2020-05
10.1101/2020.05.24.20111732	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	pediatrics	5	2020-05
10.1101/2020.05.21.20107599	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-05
10.1101/2020.05.25.20111575	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	4	2020-05
10.1101/2020.05.20.20107607	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	9	2020-05
10.1101/2020.05.24.20111765	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	5	2020-05
10.1101/2020.05.22.20107292	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	13	2020-05
10.1101/2020.05.19.20107201	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	intensive care and critical care medicine	8	2020-05
10.1101/2020.05.21.20108522	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.19.20107359	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	7	2020-05
10.1101/2020.05.24.20111773	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	radiology and imaging	5	2020-05
10.1101/2020.05.19.20106856	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	8	2020-05
10.1101/2020.05.21.20108704	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	3	2020-05
10.1101/2020.05.23.20111526	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health informatics	3	2020-05
10.1101/2020.05.22.20108084	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	radiology and imaging	10	2020-05
10.1101/2020.05.23.20111427	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.22.20109355	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	respiratory medicine	16	2020-05
10.1101/2020.05.24.20111682	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	12	2020-05
10.1101/2020.05.22.20109777	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health informatics	7	2020-05
10.1101/2020.05.24.20111633	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-05
10.1101/2020.05.25.20108852	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	14	2020-05
10.1101/2020.05.24.20111724	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.19.20107391	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	15	2020-05
10.1101/2020.05.24.20111864	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	26	2020-05
10.1101/2020.05.22.20108290	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	13	2020-05
10.1101/2020.05.24.20111849	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-05
10.1101/2020.05.24.20109215	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.21.20109710	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	intensive care and critical care medicine	9	2020-05
10.1101/2020.05.23.20110452	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.20.20107755	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.25.20109470	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	5	2020-05
10.1101/2020.05.25.20111757	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	cardiovascular medicine	28	2020-05
10.1101/2020.05.21.20109397	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	pharmacology and therapeutics	7	2020-05
10.1101/2020.05.22.20110064	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	1	2020-05
10.1101/2020.05.23.20111294	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	4	2020-05
10.1101/2020.05.22.20109934	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	radiology and imaging	20	2020-05
10.1101/2020.05.23.20111419	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	7	2020-05
10.1101/2020.05.25.20110890	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	respiratory medicine	15	2020-05
10.1101/2020.05.24.20111625	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.25.20111047	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	neurology	8	2020-05
10.1101/2020.05.23.20111500	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.23.20110650	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	neurology	45	2020-05
10.1101/2020.05.23.20111559	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	4	2020-05
10.1101/2020.05.23.20110189	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health informatics	8	2020-05
10.1101/2020.05.24.20111872	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.22.20110577	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health policy	2	2020-05
10.1101/2020.05.24.20111823	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	18	2020-05
10.1101/2020.05.25.20110338	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.24.20111807	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.24.20111971	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	25	2020-05
10.1101/2020.05.24.20112300	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	21	2020-05
10.1101/2020.05.25.20112912	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	15	2020-05
10.1101/2020.05.24.20111799	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-05
10.1101/2020.05.25.20110239	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-05
10.1101/2020.05.22.20110544	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	19	2020-05
10.1101/2020.05.24.20110346	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	11	2020-05
10.1101/2020.05.23.20111179	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	4	2020-05
10.1101/2020.05.24.20110205	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	22	2020-05
10.1101/2020.05.23.20111054	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	occupational and environmental health	6	2020-05
10.1101/2020.05.24.20111666	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	emergency medicine	8	2020-05
10.1101/2020.05.23.20111310	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	genetic and genomic medicine	14	2020-05
10.1101/2020.05.25.20112938	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.23.20111211	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health economics	4	2020-05
10.1101/2020.05.25.20112904	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	3	2020-05
10.1101/2020.05.23.20111468	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	health policy	13	2020-05
10.1101/2020.05.25.20113092	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.23.20110908	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	1	2020-05
10.1101/2020.05.25.20112466	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	4	2020-05
10.1101/2020.05.25.20110684	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-05
10.1101/2020.05.24.20112128	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	2	2020-05
10.1101/2020.05.23.20110965	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-05
10.1101/2020.05.22.20110171	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	epidemiology	1	2020-05
10.1101/2020.05.23.20111021	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-05
10.1101/2020.05.26.20113233	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	13	2020-05
10.1101/2020.05.23.20111435	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	9	2020-05
10.1101/2020.05.26.20113357	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	public and global health	5	2020-05
10.1101/2020.05.23.20111369	medRxiv	2020-05-26	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-05
